Date,Operator,Registration,AirType,Locations,aboard,fatalities,groudfatalities
14-Oct-94,"Military - Brazilian Air Force",C-130-2460,"Lockheed C-130E","Near Formoso do Aragala, Brazil",21,21,0
26-Oct-94,"Military - Angolan Air Force",H534,"Mil Mi-8MTV (helicopter)","Near Cuito, Angola",22,22,0
29-Oct-94,"Aeronica",RA-11790,"Antonov AN-12A","Near Ust'-Ilimsk, Russia",23,23,0
29-Oct-94,"Yakutavia",RA-33008,"Antonov AN-2","Batagaj, Russia",19,7,0
31-Oct-94,"American Eagle",N401AM,"ATR-72-212","Roselawn, Indiana",68,68,0
01-Nov-94,"Transportes Aereos Pegaso",XA-SVS,"Bell 212","Off Cozumel, Mexico",14,14,0
04-Nov-94,"Trigana Air Service",PK-YNM,"de Havilland Canada DHC-6 Twin Otter 100","Near Nabire, Indonesia",4,4,0
05-Nov-94,"SA Amazonica",OB-1569,"Yakovlev YAK-40","Saposa, Peru",30,6,0
16-Nov-94,"Ameriflight",N63995,"Beechcraft C99","Avenal, California",1,1,0
22-Nov-94,"Southwest Air",P2-SWC,"Britten Norman BN-2A Trislander","Papua New Guinea",7,7,0
22-Nov-94,"Trans World Airlines / Private",N954U/N411KM,"McDonnell Douglas DC-9-82 / Cessna 441","Bridgeton, Missouri",142,2,0
25-Nov-94,"Military - Angolan Air Force",H584,"Mil Mi-17 (helicopter)","Near Cuito, Angola",22,22,0
10-Dec-94,"Philippine Air Lines",EI-BWF,"Boeing B-747-200","Pacific Ocean",293,1,0
10-Dec-94,"Air Taxi - Ryan Air Service",N1238K,"Cessna 402C","Elim, Alaska",5,5,0
13-Dec-94,"American Eagle",N918AE,"British Aerospace Jetstream 3201","Morrisville, North Carolina",20,15,0
15-Dec-94,"SL Aviation Services",N96BF,"Douglas DC-3","Lobito, Angola",2,2,0
17-Dec-94,"Servivensa",YV-761C,"Douglas C-47A-10-DK","Cerro Aicha, Venezuela",9,7,0
17-Dec-94,"Missionary Aviation Fellowship",P2-MFS,"de Havilland Canada DHC-6 Twin Otter 200","Papua, New Guinea",28,28,0
21-Dec-94,"Phoenix Aviation",7T-VEE,"Boeing 737-2D6C","Coventry, England",5,5,0
26-Dec-94,"Air France",F-GBEC,"Airbus A300B2-1C","Algiers Airport, Algeria",239,3,0
29-Dec-94,"Turkish Airlines (THY)",TC-JES,"Boeing B-737-4Y0","Near Van, Turkey",76,57,0
05-Jan-95,"Military - Iranian Air Force",1003,"Lockheed 1329 Jetstar 8","Isfahan, Iran",12,12,0
10-Jan-95,"Merpati Nusantara Airlines",PK-NUK,"de Havilland Canada DHC-6 Twin Otter 300","Off Flores Island, Inodnesia",14,14,0
11-Jan-95,"Empire Airlines",N746FE,"Cessna 208B Caravan I Super Cargomaster","Flagstaff, Arizona",1,1,0
11-Jan-95,"Intercontinental de Aviacion",HK-3839X,"McDonnell Douglas DC-9-14","Cartagena, Colombia",52,51,0
11-Jan-95,"Canada Jet Charters",C-GPUN,"Learjet 35","Masset, British Columbia, Canada",5,5,0
12-Jan-95,"West Air",N754FE,"Cessna 208B Caravan I Super Cargomaster","Pleasanton, California",1,1,0
14-Jan-95,"Air Taxi - Coastal Airways Inc.",N1535E,"Cessna 172N","Blyn, Washington",4,3,0
14-Jan-95,"Air Taxi - Wolfe Air Aviation Ltd.",N2209P,"Bell 206B","Los Angeles, California",4,2,0
17-Jan-95,"Royal Nepal Airlines",9N-ABI,"de Havilland Canada DHC-6 Twin Otter 300","Kathmandu, Nepal",24,2,0
20-Jan-95,"Leadair - Charter",F-GHLN,"Dassault Falcon 20E","Le Bourget, France",10,10,0
20-Jan-95,"Abakan Airlines",RA-67120,"Let 410UVP","Near Krasnoyarsk, Russia",19,3,0
30-Jan-95,"Transasia Airways",B-22717,"Aerospatiale ATR-72","Kuei Shan Hsiang, Taiwan",4,4,0
13-Feb-95,"Las Vegas Airlines",N27245,"Piper PA-31-350 Navajo","Near Tusayan, Arizona",10,8,0
16-Feb-95,"ATI",N782AL,"McDonnell Douglas DC-8-63F","Kansas City, Missouri",3,3,0
16-Mar-95,"Aeroflot",RA-26084,"Antonov 26B","Ossora, Russia",10,9,0
22-Mar-95,"Union Flights",N9417B,"Cessna 208B Caravan I Super Cargomaster","Reno, Nevada",1,1,0
29-Mar-95,"Kiwi West Aviation",ZK-TIK,"Beech Queen Air B80","Near Hamilton, New Zealand",6,6,0
31-Mar-95,"Transporturile Aeriene Romane (TAROM)",YR-LCC,"Airbus A310-324","Near Balotesti, Romania",60,60,0
17-Apr-95,"Military - U.S. Air Force",84-0136,"Learjet C-21A","Near Alexander City, Alabama",8,8,0
23-Apr-95,"Bristow Helicopters",5N-AJQ,"de Havilland Canada DHC-6 Twin Otter 300","Lagos, Nigeria",9,1,0
27-Apr-95,"IAI 1124 Westwind",VH-AJS,"Pel Air","Alice Springs, Australia",3,3,0
29-Apr-95,"Military - Sri Lanka Air Force",4R-HVA,"Hawker Siddeley HS-748-357/2B SCD","Near Palaly AFB, Sri Lanka",52,52,0
01-May-95,"Bearskin Airlines / Air Sandy",C-GYYB/ C-GYPZ,"Swear. SA-227CC Metro 23/Piper Navajo","Sioux Falls, Ontario, Canada",8,8,0
03-May-95,"American Jet",N409MA,"Grumman Gulfstream II","Quito, Ecuador",7,7,0
09-May-95,"ADES Colombia",HK-3079G,"Curtiss C-46F","Cerro San Jeronimo, Colombia",9,9,0
13-May-95,"Military - U.S. Air Force",62-1838,"Lockheed C-130E Hercules","Near Boise, Idaho",6,6,0
24-May-95,"Knight Air",G-OEAA,"Embraer 110 P1 Bandeirante","Near Leeds, England",12,12,0
25-May-95,"LACOL",HK-3213,"Douglas DC-3C","Miraflores, Colombia",11,2,0
29-May-95,"Senegalair",6V-AGH,"Piper PA-31-310 Navajo","Off Mbour, Senegal",10,6,0
08-Jun-95,"ValuJet",N908VJ,"McDonnell Douglas DC-9-32","Atlanta, Georgia",62,0,0
09-Jun-95,"Ansett New Zealand",ZK-NEY,"de Havilland Canada DHC-8-102","Near Palmerston North, New Zealand",21,5,0
14-Jun-95,"Volga Air",CCCP-68142,"Antonov 2R","Volgograd, Russia",12,12,0
16-Jun-95,"Aeroflot",RA-07743,"Antonov AN-2","Herputchi, Russia",14,13,0
17-Jun-95,"Military - Angolan Air Force",T401,"CASA 212-200 Aviocar","Near Cuvela, Angola",48,48,0
24-Jun-95,"Harka Air Services",RA-65617,"Tupolev TU-134A","Lagos, Nigeria",80,16,0
27-Jun-95,"Salair",N356SA,"Convair CV-440","La Romana, Dominican Republic",2,2,0
30-Jun-95,"Air Taxi - Island Air Service",N8385G,"Piper PA-32-301","Kodiak, Alaska",4,4,0
